,Player Name,Player Age,Value,Team,Nationality,Position
10356,Abdel Medioub,25,€500k, Aris Limassol ,Algeria,Centre-Back
10357,Alex Moucketou-Moussounda,22,€300k, Aris Limassol ,Gabon,Centre-Back
10358,Delmiro,34,€150k, Aris Limassol ,Cape Verde,Centre-Back
10359,Kyriakos Karanikolas,19, , Aris Limassol ,Cyprus,Centre-Back
10360,Ismael Yandal,20, , Aris Limassol ,Cameroon,Centre-Back
10361,Caju,27,€700k, Aris Limassol ,Brazil,Left-Back
10362,Kostas Pileas,24,€350k, Aris Limassol ,Cyprus,Left-Back
10363,Steeve Yago,30,€700k, Aris Limassol ,Burkina Faso,Right-Back
10364,Eric Boakye,23,€600k, Aris Limassol ,Ghana,Right-Back
10365,Julius Szöke,27,€900k, Aris Limassol ,Slovakia,Defensive Midfield
10366,Evgeniy Yablonskiy,27,€900k, Aris Limassol ,Belarus,Defensive Midfield
10367,Morgan Brown,23,€450k, Aris Limassol ,England,Defensive Midfield
10368,Karol Struski,22,€600k, Aris Limassol ,Poland,Central Midfield
10369,Andreas Dimitriou,19,€50k, Aris Limassol ,Cyprus,Central Midfield
10370,Ivan Chavdarov Pankov,17, , Aris Limassol ,Cyprus,Central Midfield
10371,Matija Spoljaric,26,€750k, Aris Limassol ,Cyprus,Attacking Midfield
10372,Leo Bengtsson,24,€1.00m, Aris Limassol ,Sweden,Left Winger
10373,Kévin Monnet-Paquet,34,€300k, Aris Limassol ,France,Left Winger
10374,Shavy Babicka,22,€600k, Aris Limassol ,Gabon,Right Winger
10375,Mihlali Mayambela,26,€450k, Aris Limassol ,South Africa,Right Winger
10376,Mariusz Stepinski,27,€2.00m, Aris Limassol ,Poland,Centre-Forward
10377,Aleksandr Kokorin,32,€800k, Aris Limassol ,Russia,Centre-Forward
10378,Yannick Gomis,31,€650k, Aris Limassol ,Senegal,Centre-Forward
10379,Artem Shumanskiy,18,€300k, Aris Limassol ,Belarus,Centre-Forward
10380,Daniel Sikorski,35,€150k, Aris Limassol ,Austria,Centre-Forward
10381,Kenan Piric,28,€800k, AEK Larnaca ,Bosnia-Herzegovina,Goalkeeper
10382,Ioakim Toumpas,24,€450k, AEK Larnaca ,Cyprus,Goalkeeper
10383,Milos Gordic,23,€350k, AEK Larnaca ,Serbia,Goalkeeper
10384,Andreas Paraskevas,24,€150k, AEK Larnaca ,Cyprus,Goalkeeper
10385,Dimitrios Stylianidis,19, , AEK Larnaca ,Cyprus,Goalkeeper
10386,Hrvoje Milicevic,29,€700k, AEK Larnaca ,Bosnia-Herzegovina,Centre-Back
10387,Nenad Tomović,35,€250k, AEK Larnaca ,Serbia,Centre-Back
10388,Mikel González,37,€150k, AEK Larnaca ,Spain,Centre-Back
10389,Pavlos Charalampous,19,€50k, AEK Larnaca ,Cyprus,Centre-Back
10390,Andreas Kapsis,17, , AEK Larnaca ,Cyprus,Centre-Back
10391,Sotiris Georgiou,21, , AEK Larnaca ,Cyprus,Centre-Back
10392,Ángel García,30,€600k, AEK Larnaca ,Spain,Left-Back
10393,Nikolas Englezou,29,€400k, AEK Larnaca ,Cyprus,Left-Back
10394,Henry Bates Andreou,22,€100k, AEK Larnaca ,Cyprus,Left-Back
10395,Ismael Casas,22,€500k, AEK Larnaca ,Spain,Right-Back
10396,Roberto Rosales,34,€450k, AEK Larnaca ,Venezuela,Right-Back
10397,Kypros Christoforou,29,€400k, AEK Larnaca ,Cyprus,Right-Back
10398,Pere Pons,30,€2.00m, AEK Larnaca ,Spain,Defensive Midfield
10399,Rafail Mamas,22,€600k, AEK Larnaca ,Cyprus,Defensive Midfield
10400,Oier Sanjurjo,36,€400k, AEK Larnaca ,Spain,Defensive Midfield
10401,Gus Ledes,30,€700k, AEK Larnaca ,Portugal,Central Midfield
10402,Giorgos Naoum,22,€250k, AEK Larnaca ,Cyprus,Attacking Midfield
10403,Antonis Christaki,18, , AEK Larnaca ,Cyprus,Attack
10404,Marin Jakolis,26,€900k, AEK Larnaca ,Croatia,Left Winger
10405,Ádám Gyurcsó,32,€700k, AEK Larnaca ,Hungary,Left Winger
10406,Bruno Gama,35,€250k, AEK Larnaca ,Portugal,Left Winger
10407,Giorgos Mavris,18, , AEK Larnaca ,Cyprus,Left Winger
10408,Imad Faraj,24,€600k, AEK Larnaca ,France,Right Winger
10409,Omri Altman,29,€800k, AEK Larnaca ,Israel,Second Striker
10410,Ivan Trickovski,35,€500k, AEK Larnaca ,North Macedonia,Second Striker
10411,Lampros Michail Konstanti,17, , AEK Larnaca ,Cyprus,Second Striker
10412,Mathias Gonzalez,17, , AEK Larnaca ,Venezuela,Second Striker
10413,Artem Gromov,33,€600k, AEK Larnaca ,Ukraine,Centre-Forward
10414,Rafa Lopes,31,€400k, AEK Larnaca ,Portugal,Centre-Forward
10415,Nemanja Nikolics,35,€200k, AEK Larnaca ,Hungary,Centre-Forward
10416,Neofytos Michail,29,€450k, Anorthosis Famagusta ,Cyprus,Goalkeeper
10417,Giorgi Loria,37,€200k, Anorthosis Famagusta ,Georgia,Goalkeeper
10418,Andreas Keravnos,23,€200k, Anorthosis Famagusta ,Cyprus,Goalkeeper
10419,Georgios Papadopoulos,31,€150k, Anorthosis Famagusta ,Cyprus,Goalkeeper
10420,Michalis Frangeski,17, , Anorthosis Famagusta ,Cyprus,Goalkeeper
10421,Christoforos Vasiliou,18, , Anorthosis Famagusta ,Cyprus,Goalkeeper
10422,Pavlos Correa,24,€400k, Anorthosis Famagusta ,Cyprus,Centre-Back
10423,Marco Baixinho,33,€350k, Anorthosis Famagusta ,Portugal,Centre-Back
10424,Marios Antoniadis,32,€350k, Anorthosis Famagusta ,Cyprus,Centre-Back
10425,Anderson Correia,31,€600k, Anorthosis Famagusta ,Brazil,Left-Back
10426,Kiko,30,€400k, Anorthosis Famagusta ,Portugal,Left-Back
10427,Hovhannes Hambardzumyan,32,€500k, Anorthosis Famagusta ,Armenia,Right-Back
10428,Minas Antoniou,29,€450k, Anorthosis Famagusta ,Cyprus,Right-Back
10429,Konstantinos Konstantinou,17, , Anorthosis Famagusta ,Cyprus,midfield
10430,Kostakis Artymatas,29,€1.00m, Anorthosis Famagusta ,Cyprus,Defensive Midfield
10431,Erik Sabo,31,€700k, Anorthosis Famagusta ,Slovakia,Central Midfield
10432,Sergio Tejera,32,€500k, Anorthosis Famagusta ,Spain,Central Midfield
10433,Michalis Ioannou,22,€400k, Anorthosis Famagusta ,Cyprus,Central Midfield
10434,Andreas Chrysostomou,22,€400k, Anorthosis Famagusta ,Cyprus,Central Midfield
10435,Avto,31,€300k, Anorthosis Famagusta ,Georgia,Left Winger
10436,Hélder Ferreira,26,€650k, Anorthosis Famagusta ,Portugal,Right Winger
10437,Dimitrios Christofi,34,€300k, Anorthosis Famagusta ,Cyprus,Right Winger
10438,Daniil Paroutis,22,€50k, Anorthosis Famagusta ,Cyprus,Right Winger
10439,Dimitrianos Tzouliou,17, , Anorthosis Famagusta ,Cyprus,Right Winger
10440,Majeed Waris,31,€800k, Anorthosis Famagusta ,Ghana,Second Striker
10441,Miguel Ángel Guerrero,32,€450k, Anorthosis Famagusta ,Spain,Second Striker
10442,Casimir Ninga,29,€1.00m, Anorthosis Famagusta ,Chad,Centre-Forward
10443,Antoñín,22,€800k, Anorthosis Famagusta ,Spain,Centre-Forward
10444,Samuel Mraz,25,€600k, Anorthosis Famagusta ,Slovakia,Centre-Forward
10445,Muriel,36,€250k, AEL Limassol ,Brazil,Goalkeeper
10446,Miguel Oliveira,28,€150k, AEL Limassol ,Portugal,Goalkeeper
10447,Michalis Kyriakou,20,€50k, AEL Limassol ,Cyprus,Goalkeeper
10448,Panagiotis Kyriakou,18, , AEL Limassol ,Cyprus,Goalkeeper
10449,Sébastien Dewaest,31,€500k, AEL Limassol ,Belgium,Centre-Back
10450,André Teixeira,29,€450k, AEL Limassol ,Portugal,Centre-Back
10451,Petar Filipovic,32,€400k, AEL Limassol ,Germany,Centre-Back
10452,Hugo Basto,29,€300k, AEL Limassol ,Portugal,Centre-Back
10453,Kristian Bilovar,22,€300k, AEL Limassol ,Ukraine,Centre-Back
10454,Andreas Ioannou,18, , AEL Limassol ,Cyprus,Centre-Back
10455,Marko Veselinovic,19, , AEL Limassol ,Cyprus,Centre-Back
10456,Djalma Silva,28,€600k, AEL Limassol ,Brazil,Left-Back
10457,Kypros Neofytou,20,€75k, AEL Limassol ,Cyprus,Left-Back
10458,Christoforos Frantzis,22,€400k, AEL Limassol ,Cyprus,Right-Back
10459,Stylianos Panteli,23,€250k, AEL Limassol ,Cyprus,Right-Back
10460,Davor Zdravkovski,25,€500k, AEL Limassol ,North Macedonia,Defensive Midfield
10461,Slobodan Medojevic,32,€400k, AEL Limassol ,Serbia,Defensive Midfield
10462,Vasilios Papafotis,27,€500k, AEL Limassol ,Cyprus,Central Midfield
10463,Aaron Tshibola,28,€350k, AEL Limassol ,DR Congo,Central Midfield
10464,Vittorio Continella,20,€150k, AEL Limassol ,Italy,Central Midfield
10465,Leontios Zacharia,17, , AEL Limassol ,Cyprus,Central Midfield
10466,Javier Mendoza,30,€400k, AEL Limassol ,Argentina,Attacking Midfield
10467,Kevin Mirallas,35,€350k, AEL Limassol ,Belgium,Attacking Midfield
10468,Fedor Černych,31,€300k, AEL Limassol ,Lithuania,Attacking Midfield
10469,Evdoras Silvestros,24,€50k, AEL Limassol ,Cyprus,Attacking Midfield
10470,Amadou Ciss,24,€600k, AEL Limassol ,Senegal,Left Winger
10471,Michalis Kolias,18, , AEL Limassol ,Cyprus,Left Winger
10472,Rafa,18, , AEL Limassol ,Brazil,Left Winger
10473,Jared Khasa,25,€500k, AEL Limassol ,France,Right Winger
10474,Andreas Makris,27,€300k, AEL Limassol ,Cyprus,Right Winger
10475,Alexander Kacaniklic,31,€250k, AEL Limassol ,Sweden,Right Winger
10476,Evangelos Andreou,20,€150k, AEL Limassol ,Cyprus,Right Winger
10477,Saido Berahino,29,€1.00m, AEL Limassol ,Burundi,Centre-Forward
10478,José Romo,29,€400k, AEL Limassol ,Venezuela,Centre-Forward
10479,Nicolae Milinceanu,30,€300k, AEL Limassol ,Moldova,Centre-Forward
10480,Joël Mall,32,€500k, Olympiakos Nicosia ,Switzerland,Goalkeeper
10481,Charles,29,€250k, Olympiakos Nicosia ,Brazil,Goalkeeper
10482,Anastasios Pishias,16, , Olympiakos Nicosia ,Cyprus,Goalkeeper
10483,Giorgos Christoforou,19, , Olympiakos Nicosia ,Cyprus,Goalkeeper
10484,Pierre Bardy,30,€400k, Olympiakos Nicosia ,France,Centre-Back
10485,Bert Esselink,23,€300k, Olympiakos Nicosia ,Netherlands,Centre-Back
10486,Stefanos Mouktaris,28,€200k, Olympiakos Nicosia ,Cyprus,Centre-Back
10487,Thanasis Liasidis,25,€50k, Olympiakos Nicosia ,Cyprus,Centre-Back
10488,Sotiris Kaiafas,18, , Olympiakos Nicosia ,Cyprus,Centre-Back
10489,Thomas Ioannou,27,€400k, Olympiakos Nicosia ,Cyprus,Left-Back
10490,Vangelis Kyriakou,29,€350k, Olympiakos Nicosia ,Cyprus,Right-Back
10491,Toni Gorupec,29,€300k, Olympiakos Nicosia ,Croatia,Right-Back
10492,Nikolas Chatzimitsis,19,€75k, Olympiakos Nicosia ,Cyprus,Right-Back
10493,Nanissio Soares,31,€300k, Olympiakos Nicosia ,Guinea-Bissau,Defensive Midfield
10494,Nikolaos Dosis,22,€150k, Olympiakos Nicosia ,Sweden,Defensive Midfield
10495,Abdul Khalili,30,€700k, Olympiakos Nicosia ,Sweden,Central Midfield
10496,Filippos Eftichidis,21,€350k, Olympiakos Nicosia ,Cyprus,Central Midfield
10497,Bryan Alceus,27,€300k, Olympiakos Nicosia ,Haiti,Central Midfield
10498,Petros Psichas,24,€300k, Olympiakos Nicosia ,Cyprus,Attacking Midfield
10499,Stefanos Charalampous,23,€250k, Olympiakos Nicosia ,Cyprus,Attacking Midfield
10500,Marios Pechlivanis,27,€300k, Olympiakos Nicosia ,Cyprus,Left Winger
10501,Angelos Zefki,19,€50k, Olympiakos Nicosia ,Cyprus,Left Winger
10502,Fabrice Kah,27,€250k, Olympiakos Nicosia ,Cameroon,Right Winger
10503,Lewis Enoh,30,€225k, Olympiakos Nicosia ,Cameroon,Right Winger
10504,Martin Slogar,22,€200k, Olympiakos Nicosia ,Croatia,Right Winger
10505,Michalis Christodoulou,23,€75k, Olympiakos Nicosia ,Cyprus,Right Winger
10506,Edgar Salli,30,€350k, Olympiakos Nicosia ,Cameroon,Second Striker
10507,Fiorin Durmishaj,26,€350k, Olympiakos Nicosia ,Greece,Centre-Forward
10508,Sam Hendriks,28,€300k, Olympiakos Nicosia ,Netherlands,Centre-Forward
10509,Petros Giakoumakis,30,€300k, Olympiakos Nicosia ,Greece,Centre-Forward
10510,Chrysovalantis Kapartis,31,€200k, Olympiakos Nicosia ,Cyprus,Centre-Forward
10511,Osman Koroma,20,€100k, Olympiakos Nicosia ,Sierra Leone,Centre-Forward
10512,Nikolaos Melissas,30,€300k, Nea Salamina Famagusta ,Greece,Goalkeeper
10513,Anastasios Kissas,35,€150k, Nea Salamina Famagusta ,Cyprus,Goalkeeper
10514,Alexandros Kyriakidis,19, , Nea Salamina Famagusta ,Cyprus,Goalkeeper
10515,Giannis Kalanidis,16, , Nea Salamina Famagusta ,Greece,Goalkeeper
10516,Zacharias Adoni,23,€350k, Nea Salamina Famagusta ,Cyprus,Centre-Back
10517,Niko Datkovic,29,€300k, Nea Salamina Famagusta ,Croatia,Centre-Back
10518,Georgios Katsikas,32,€200k, Nea Salamina Famagusta ,Greece,Centre-Back
10519,Abdelaye Diakite,33,€150k, Nea Salamina Famagusta ,Mali,Centre-Back
10520,Richard Ofori,29,€400k, Nea Salamina Famagusta ,Ghana,Left-Back
10521,Giorgos Malekkidis,25,€200k, Nea Salamina Famagusta ,Cyprus,Left-Back
10522,Thomas Nikolaou,21,€200k, Nea Salamina Famagusta ,Cyprus,Left-Back
10523,Konstantinos Sergiou,22,€350k, Nea Salamina Famagusta ,Cyprus,Right-Back
10524,Serge Leuko,29,€200k, Nea Salamina Famagusta ,Cameroon,Right-Back
10525,Renato Margaça,37,€250k, Nea Salamina Famagusta ,Cyprus,Defensive Midfield
10526,Georges Mandjeck,34,€200k, Nea Salamina Famagusta ,Cameroon,Defensive Midfield
10527,Vladislav Klimovich,26,€400k, Nea Salamina Famagusta ,Belarus,Central Midfield
10528,Andreas Frangos,26,€350k, Nea Salamina Famagusta ,Cyprus,Central Midfield
10529,Miguelito,33,€300k, Nea Salamina Famagusta ,Portugal,Central Midfield
10530,Carlitos,23,€150k, Nea Salamina Famagusta ,Angola,Central Midfield
10531,Thiago Santos,35,€350k, Nea Salamina Famagusta ,Brazil,Attacking Midfield
10532,Juan Felipe,35,€250k, Nea Salamina Famagusta ,Brazil,Attacking Midfield
10533,Edson Silva,21, , Nea Salamina Famagusta ,Portugal,Attacking Midfield
10534,Eric Bauthéac,35,€350k, Nea Salamina Famagusta ,France,Right Winger
10535,Sintayehu Sallalich,31,€175k, Nea Salamina Famagusta ,Israel,Right Winger
10536,Michalis Koumouris,28,€150k, Nea Salamina Famagusta ,Cyprus,Right Winger
10537,Chico Banza,24,€75k, Nea Salamina Famagusta ,Angola,Second Striker
10538,Diego Dorregaray,30,€600k, Nea Salamina Famagusta ,Argentina,Centre-Forward
10539,Florian Taulemesse,37,€100k, Nea Salamina Famagusta ,France,Centre-Forward
10540,Martin Lukov,29,€450k, Karmiotissa Pano Polemidion ,Bulgaria,Goalkeeper
10541,Milan Knobloch,30,€300k, Karmiotissa Pano Polemidion ,Czech Republic,Goalkeeper
10542,Alexander Matija Spoljaric,27,€50k, Karmiotissa Pano Polemidion ,Cyprus,Goalkeeper
10543,Tomas Hubocan,37,€200k, Karmiotissa Pano Polemidion ,Slovakia,Centre-Back
10544,Antonio Mico,23,€100k, Karmiotissa Pano Polemidion ,Albania,Centre-Back
10545,Angelis Angeli,33,€50k, Karmiotissa Pano Polemidion ,Cyprus,Centre-Back
10546,Tomas Celustka,31,€250k, Karmiotissa Pano Polemidion ,Czech Republic,Left-Back
10547,Simranjit Thandi,23,€400k, Karmiotissa Pano Polemidion ,England,Right-Back
10548,Manolis Tzanakakis,30,€250k, Karmiotissa Pano Polemidion ,Greece,Right-Back
10549,Alkiviadis Christofi,31,€150k, Karmiotissa Pano Polemidion ,Cyprus,Right-Back
10550,Dion Malone,34,€350k, Karmiotissa Pano Polemidion ,Suriname,Defensive Midfield
10551,Tomás Podstawski,28,€200k, Karmiotissa Pano Polemidion ,Portugal,Defensive Midfield
10552,Andreas Neofytou,24,€150k, Karmiotissa Pano Polemidion ,Cyprus,Defensive Midfield
10553,Nikolas Menelaou,24, , Karmiotissa Pano Polemidion ,Cyprus,Defensive Midfield
10554,Jon Gaztañaga,31,€275k, Karmiotissa Pano Polemidion ,Spain,Central Midfield
10555,Georgios Ikonomidis,33,€250k, Karmiotissa Pano Polemidion ,Cyprus,Central Midfield
10556,Samir Ben Sallam,21,€250k, Karmiotissa Pano Polemidion ,Netherlands,Central Midfield
10557,Theodoros Andronikou,21,€50k, Karmiotissa Pano Polemidion ,Cyprus,Central Midfield
10558,Nikolaos Kaltsas,32,€400k, Karmiotissa Pano Polemidion ,Greece,Right Midfield
10559,Razvan Gradinaru,27,€300k, Karmiotissa Pano Polemidion ,Romania,Left Midfield
10560,Andreas Avraam,35,€150k, Karmiotissa Pano Polemidion ,Cyprus,Left Midfield
10561,Mounir El Allouchi,28,€400k, Karmiotissa Pano Polemidion ,Netherlands,Attacking Midfield
10562,Karim Loukili,25,€200k, Karmiotissa Pano Polemidion ,Morocco,Left Winger
10563,Aboubacar Doumbia,23,€300k, Karmiotissa Pano Polemidion ,Cote d'Ivoire,Right Winger
10564,Souleymane Coulibaly,28,€300k, Karmiotissa Pano Polemidion ,Cote d'Ivoire,Centre-Forward
10565,Michal Duris,34,€300k, Karmiotissa Pano Polemidion ,Slovakia,Centre-Forward
10566,Danzell Gravenberch,29,€250k, Karmiotissa Pano Polemidion ,Suriname,Centre-Forward
10567,Dimitris Stavrou,17, , Karmiotissa Pano Polemidion ,Cyprus,Centre-Forward
10568,Rasheed Yusuf,18, , Karmiotissa Pano Polemidion ,Nigeria,Centre-Forward
10569,Damjan Siskovski,28,€350k, Doxa Katokopias ,North Macedonia,Goalkeeper
10570,Dimitrios Priniotaki,24,€150k, Doxa Katokopias ,Cyprus,Goalkeeper
10571,Theodoros Konstantinou,24,€50k, Doxa Katokopias ,Cyprus,Goalkeeper
10572,Andreas Karamanolis,21,€400k, Doxa Katokopias ,Cyprus,Centre-Back
10573,Semir Kerla,35,€250k, Doxa Katokopias ,Bosnia-Herzegovina,Centre-Back
10574,Juhani Ojala,33,€250k, Doxa Katokopias ,Finland,Centre-Back
10575,Khaled Adénon,37,€200k, Doxa Katokopias ,Benin,Centre-Back
10576,Mac Bean Naggar,23,€25k, Doxa Katokopias ,United States,Centre-Back
10577,Bojan Kovacevic,26,€300k, Doxa Katokopias ,Serbia,Left-Back
10578,Sebastián Herrera,28,€250k, Doxa Katokopias ,Colombia,Left-Back
10579,Marios Stylianou,29,€250k, Doxa Katokopias ,Cyprus,Right-Back
10580,Dusko Trajcevski,32,€200k, Doxa Katokopias ,North Macedonia,Defensive Midfield
10581,Christian Ilic,26,€400k, Doxa Katokopias ,Croatia,Central Midfield
10582,Benny,26,€300k, Doxa Katokopias ,Portugal,Central Midfield
10583,Benjamin Asamoah,29,€300k, Doxa Katokopias ,Ghana,Central Midfield
10584,Giorgos Pavlidis,20,€150k, Doxa Katokopias ,Cyprus,Central Midfield
10585,Fawaz Abdullahi,19,€75k, Doxa Katokopias ,Nigeria,Central Midfield
10586,Mesca,29,€300k, Doxa Katokopias ,Guinea-Bissau,Right Midfield
10587,Tidjani Anaane,26,€300k, Doxa Katokopias ,Benin,Left Winger
10588,Nikola Trujic,31,€300k, Doxa Katokopias ,Serbia,Left Winger
10589,Marios Fasouliotis,17,€100k, Doxa Katokopias ,Cyprus,Left Winger
10590,Ernest Asante,34,€300k, Doxa Katokopias ,Ghana,Right Winger
10591,Berat Sadik,36,€200k, Doxa Katokopias ,Finland,Centre-Forward
10592,Kleton Perntreou,28,€250k, Akritas Chlorakas ,Albania,Goalkeeper
10593,Ákos Onódi,21,€150k, Akritas Chlorakas ,Hungary,Goalkeeper
10594,Guilherme Vicentini,22,€50k, Akritas Chlorakas ,Brazil,Goalkeeper
10595,Christodoulos Pazaros,20, , Akritas Chlorakas ,Cyprus,Goalkeeper
10596,Vinko Medjimorec,26,€350k, Akritas Chlorakas ,Croatia,Centre-Back
10597,Ivan Saravanja,26,€350k, Akritas Chlorakas ,Croatia,Centre-Back
10598,Hamed Karamoko Dramé,21,€150k, Akritas Chlorakas ,France,Centre-Back
10599,Souleymane Fofana,21,€50k, Akritas Chlorakas ,France,Centre-Back
10600,Konstantinos Karagiannis,23,€250k, Akritas Chlorakas ,Cyprus,Left-Back
10601,Loïs Fauriel,20,€75k, Akritas Chlorakas ,Congo,Left-Back
10602,Edin Sehic,28,€150k, Akritas Chlorakas ,Bosnia-Herzegovina,Right-Back
10603,Wilguens Paugain,21,€75k, Akritas Chlorakas ,France,Right-Back
10604,Nikita Dubov,22,€50k, Akritas Chlorakas ,England,Right-Back
10605,Ibrahim Pekegnon Kone,21,€175k, Akritas Chlorakas ,Cote d'Ivoire,Defensive Midfield
10606,Javi Eraso,33,€300k, Akritas Chlorakas ,Spain,Central Midfield
10607,Abraham González,37,€150k, Akritas Chlorakas ,Spain,Central Midfield
10608,Matheus Clemente,24,€150k, Akritas Chlorakas ,Portugal,Central Midfield
10609,Ivan Alekseev,21,€100k, Akritas Chlorakas ,Russia,Central Midfield
10610,Davi Araújo,24,€400k, Akritas Chlorakas ,Brazil,Attacking Midfield
10611,Vasilis Dimosthenous,23,€200k, Akritas Chlorakas ,Cyprus,Attacking Midfield
10612,Juninho Carpina,23,€100k, Akritas Chlorakas ,Brazil,Left Winger
10613,Stavros Gavriel,21,€300k, Akritas Chlorakas ,Cyprus,Right Winger
10614,Vasco Lopes,23,€225k, Akritas Chlorakas ,Cape Verde,Right Winger
10615,Marcelo Torres,25,€600k, Akritas Chlorakas ,Argentina,Centre-Forward
10616,Magomedkhabib Abdusalamov,19,€300k, Akritas Chlorakas ,Russia,Centre-Forward
10617,Iasonas Pikis,22,€200k, Akritas Chlorakas ,Cyprus,Centre-Forward
10618,Ivan Kostic,27,€300k, Enosis Neon Paralimniou ,Serbia,Goalkeeper
10619,Panagiotis Panagiotou,25,€50k, Enosis Neon Paralimniou ,Cyprus,Goalkeeper
10620,Theodoros Koutsou,18,€50k, Enosis Neon Paralimniou ,Cyprus,Goalkeeper
10621,Serafim Koulis,19, , Enosis Neon Paralimniou ,Greece,Goalkeeper
10622,Pavel Dreksa,33,€300k, Enosis Neon Paralimniou ,Czech Republic,Centre-Back
10623,Luís Silva,24,€250k, Enosis Neon Paralimniou ,Portugal,Centre-Back
10624,Marco Ehmann,22,€200k, Enosis Neon Paralimniou ,Romania,Centre-Back
10625,Omer Korsia,20,€75k, Enosis Neon Paralimniou ,Israel,Centre-Back
10626,Andreas Christofi,24,€50k, Enosis Neon Paralimniou ,Cyprus,Centre-Back
10627,Marko Jevremovic,27,€300k, Enosis Neon Paralimniou ,Serbia,Left-Back
10628,Fotis Kotsonis,20,€200k, Enosis Neon Paralimniou ,Cyprus,Right-Back
10629,Gavriel Protopapas,20,€50k, Enosis Neon Paralimniou ,Cyprus,Right-Back
10630,Paris Polykarpou,22,€250k, Enosis Neon Paralimniou ,Cyprus,Defensive Midfield
10631,Adrián Lucero,38,€150k, Enosis Neon Paralimniou ,Argentina,Defensive Midfield
10632,Stefan Vukcevic,26,€350k, Enosis Neon Paralimniou ,Montenegro,Central Midfield
10633,Loizos Kosmas,28,€150k, Enosis Neon Paralimniou ,Cyprus,Central Midfield
10634,Dimitris Mavroudis,20,€150k, Enosis Neon Paralimniou ,Cyprus,Central Midfield
10635,Antonis Katsiaris,26,€100k, Enosis Neon Paralimniou ,Cyprus,Central Midfield
10636,Konstantinos Kolonias,19,€50k, Enosis Neon Paralimniou ,Greece,Central Midfield
10637,Konstantinos Konstantinou,23,€250k, Enosis Neon Paralimniou ,Cyprus,Right Midfield
10638,Márcio Meira,29,€200k, Enosis Neon Paralimniou ,Portugal,Attacking Midfield
10639,Tyler Ryan Dodd,19, , Enosis Neon Paralimniou ,England,Attacking Midfield
10640,Floriss Djave,19,€300k, Enosis Neon Paralimniou ,Gabon,Left Winger
10641,Kandet Diawara,23,€250k, Enosis Neon Paralimniou ,Guinea,Left Winger
10642,Víctor Fernández,24,€250k, Enosis Neon Paralimniou ,Spain,Left Winger
10643,Julien Lamy,23,€150k, Enosis Neon Paralimniou ,France,Left Winger
10644,Pantelis Gavriel,19,€100k, Enosis Neon Paralimniou ,Cyprus,Left Winger
10645,Dimitris Flouris,20, , Enosis Neon Paralimniou ,Cyprus,Right Winger
10646,Rafael Moreira,21, , Enosis Neon Paralimniou ,Portugal,Right Winger
10647,Onisiforos Rousias,30,€300k, Enosis Neon Paralimniou ,Cyprus,Centre-Forward
10648,Aleksandar Vucenovic,25,€100k, Enosis Neon Paralimniou ,Austria,Centre-Forward
10649,Sergio Padt,32,€1.20m, Ludogorets Razgrad ,Netherlands,Goalkeeper
10650,Simon Sluga,30,€1.20m, Ludogorets Razgrad ,Croatia,Goalkeeper
10651,Olivier Verdon,27,€1.40m, Ludogorets Razgrad ,Benin,Centre-Back
10652,Franco Russo,28,€1.00m, Ludogorets Razgrad ,Argentina,Centre-Back
10653,Dinis Almeida,27,€1.00m, Ludogorets Razgrad ,Portugal,Centre-Back
10654,Igor Plastun,32,€800k, Ludogorets Razgrad ,Ukraine,Centre-Back
10655,Georgi Terziev,30,€300k, Ludogorets Razgrad ,Bulgaria,Centre-Back
10656,Anton Nedyalkov,29,€3.00m, Ludogorets Razgrad ,Bulgaria,Left-Back
10657,Denny Gropper,24,€500k, Ludogorets Razgrad ,Israel,Left-Back
10658,Pipa,25,€2.50m, Ludogorets Razgrad ,Spain,Right-Back
10659,Aslak Witry,27,€1.20m, Ludogorets Razgrad ,Norway,Right-Back
10660,Jakub Piotrowski,25,€1.50m, Ludogorets Razgrad ,Poland,Defensive Midfield
10661,Claude Gonçalves,29,€1.30m, Ludogorets Razgrad ,Portugal,Defensive Midfield
10662,Show,24,€1.20m, Ludogorets Razgrad ,Angola,Defensive Midfield
10663,Pedro Naressi,25,€700k, Ludogorets Razgrad ,Brazil,Central Midfield
10664,Nonato,25,€2.00m, Ludogorets Razgrad ,Brazil,Attacking Midfield
10665,Dominik Yankov,22,€1.50m, Ludogorets Razgrad ,Bulgaria,Attacking Midfield
10666,Todor Nedelev,30,€1.30m, Ludogorets Razgrad ,Bulgaria,Attacking Midfield
10667,Raí Nascimento,24,€900k, Ludogorets Razgrad ,Brazil,Left Winger
10668,Jorginho,27,€400k, Ludogorets Razgrad ,Guinea-Bissau,Left Winger
10669,Spas Delev,33,€300k, Ludogorets Razgrad ,Bulgaria,Left Winger
10670,Bernard Tekpetey,25,€5.00m, Ludogorets Razgrad ,Ghana,Right Winger
10671,Kiril Despodov,26,€4.00m, Ludogorets Razgrad ,Bulgaria,Right Winger
10672,Caio Vidal,22,€1.80m, Ludogorets Razgrad ,Brazil,Right Winger
10673,Rick,23,€1.20m, Ludogorets Razgrad ,Brazil,Right Winger
10674,Matías Tissera,26,€1.50m, Ludogorets Razgrad ,Argentina,Centre-Forward
10675,Igor Thiago,21,€1.00m, Ludogorets Razgrad ,Brazil,Centre-Forward
10676,Plamen Andreev,18,€1.20m, Levski Sofia ,Bulgaria,Goalkeeper
