,Player,Nation,Pos,Squad,Comp,Age
1344,N'Golo Kanté,FRA,2,Chelsea,Premier League,31
1345,Stefanos Kapino,GRE,4,Arminia,Bundesliga,28
1346,Atakan Karazor,GER,2,Stuttgart,Bundesliga,25
1347,Rick Karsdorp,NED,1,Roma,Serie A,27
1348,Denso Kasius,NED,1,Bologna,Serie A,19
1349,Grigoris Kastanos,CYP,2,Salernitana,Serie A,24
1350,Silas Katompa,COD,2,Stuttgart,Bundesliga,23
1351,Noah Katterbach,GER,1,Köln,Bundesliga,21
1352,Eiji Kawashima,JPN,4,Strasbourg,Ligue 1,39
1353,Edo Kayembe,COD,2,Watford,Premier League,23
1354,Moise Kean,ITA,3,Everton,Premier League,22
1355,Moise Kean,ITA,3,Juventus,Serie A,22
1356,Michael Keane,ENG,1,Everton,Premier League,29
1357,Ilan Kebbal,ALG,2,Reims,Ligue 1,23
1358,Wajdi Kechrida,TUN,1,Salernitana,Serie A,26
1359,Thilo Kehrer,GER,1,Paris S-G,Ligue 1,25
1360,Habib Keita,MLI,2,Lyon,Ligue 1,20
1361,Naby Keïta,GUI,2,Liverpool,Premier League,27
1362,Yannik Keitel,GER,2,Freiburg,Bundesliga,22
1363,Caoimhín Kelleher,IRL,4,Liverpool,Premier League,23
1364,Marc-Oliver Kempf,GER,1,Hertha BSC,Bundesliga,27
1365,Marc-Oliver Kempf,GER,1,Stuttgart,Bundesliga,27
1366,Kenedy,BRA,1,Chelsea,Premier League,26
1367,Jonjoe Kenny,ENG,1,Everton,Premier League,25
1368,Dimitrios Keramitsis,GRE,1,Roma,Serie A,17
1369,Franck Kessié,CIV,2,Milan,Serie A,25
1370,Saîf-Eddine Khaoui,TUN,2,Clermont Foot,Ligue 1,27
1371,Wahbi Khazri,TUN,3,Saint-Étienne,Ligue 1,31
1372,Rani Khedira,GER,2,Union Berlin,Bundesliga,28
1373,Kike,ESP,3,Osasuna,La Liga,32
1374,Luca Kilian,GER,3,Mainz 05,Bundesliga,22
1375,Luca Kilian,GER,1,Köln,Bundesliga,22
1376,Max Kilman,ENG,1,Wolves,Premier League,25
1377,Joshua Kimmich,GER,2,Bayern Munich,Bundesliga,27
1378,Presnel Kimpembe,FRA,1,Paris S-G,Ligue 1,26
1379,Joshua King,NOR,3,Watford,Premier League,30
1380,Jakub Kiwior,POL,2,Spezia,Serie A,22
1381,Sofian Kiyine,MAR,2,Venezia,Serie A,24
1382,Simon Kjær,DEN,1,Milan,Serie A,33
1383,Kristoffer Klaesson,NOR,4,Leeds United,Premier League,21
1384,Philipp Klement,GER,2,Stuttgart,Bundesliga,29
1385,Mateusz Klich,POL,2,Leeds United,Premier League,31
1386,Thibault Klidje,TOG,1,Bordeaux,Ligue 1,20
1387,Mateo Klimowicz,GER,3,Stuttgart,Bundesliga,21
1388,Fabian Klos,GER,3,Arminia,Bundesliga,34
1389,Lukas Klostermann,GER,1,RB Leipzig,Bundesliga,25
1390,Justin Kluivert,NED,2,Nice,Ligue 1,23
1391,Lukas Klünter,GER,1,Hertha BSC,Bundesliga,26
1392,Ansgar Knauff,GER,1,Eint Frankfurt,Bundesliga,20
1393,Ansgar Knauff,GER,3,Dortmund,Bundesliga,20
1394,Robin Knoche,GER,1,Union Berlin,Bundesliga,30
1395,Gregor Kobel,SUI,4,Dortmund,Bundesliga,24
1396,Robin Koch,GER,2,Leeds United,Premier League,25
1397,Samuel Koeberlé,FRA,2,Reims,Ligue 1,17
1398,Philippe Koffi,FRA,3,Reims,Ligue 1,20
1399,Dominik Kohr,GER,2,Mainz 05,Bundesliga,28
1400,Koba Koindredi,FRA,2,Valencia,La Liga,20
1401,Koke,ESP,2,Atlético Madrid,La Liga,30
1402,Aleksandr Kokorin,RUS,3,Fiorentina,Serie A,31
1403,Aleksandar Kolarov,SRB,1,Inter,Serie A,36
1404,Sead Kolainac,BIH,1,Marseille,Ligue 1,28
1405,Sead Kolainac,BIH,1,Arsenal,Premier League,28
1406,Luca Koleosho,USA,3,Espanyol,La Liga,17
1407,Randal Kolo Muani,FRA,3,Nantes,Ligue 1,23
1408,Timothée Kolodziejczak,FRA,1,Saint-Étienne,Ligue 1,30
1409,Ghislain Konan,CIV,1,Reims,Ligue 1,26
1410,Ibrahima Konaté,FRA,1,Liverpool,Premier League,23
1411,Geoffrey Kondogbia,CTA,2,Atlético Madrid,La Liga,29
1412,Ibrahima Koné,MLI,3,Lorient,Ligue 1,22
1413,Kouadio Koné,FRA,2,M'Gladbach,Bundesliga,21
1414,Youssouf Koné,MLI,1,Troyes,Ligue 1,26
1415,Ezri Konsa,ENG,1,Aston Villa,Premier League,24
1416,Teun Koopmeiners,NED,2,Atalanta,Serie A,24
1417,Laurent Koscielny,FRA,1,Bordeaux,Ligue 1,36
1418,Odilon Kossonou,CIV,1,Leverkusen,Bundesliga,21
1419,Filip Kosti?,SRB,1,Eint Frankfurt,Bundesliga,29
1420,Rominigue Kouamé,MLI,2,Troyes,Ligue 1,25
1421,Nianzou Kouassi,FRA,1,Bayern Munich,Bundesliga,19
1422,Kalidou Koulibaly,SEN,1,Napoli,Serie A,30
1423,Jules Koundé,FRA,1,Sevilla,La Liga,23
1424,Christos Kourfalidis,GRE,2,Cagliari,Serie A,19
1425,Boubakar Kouyaté,MLI,1,Metz,Ligue 1,25
1426,Cheikhou Kouyaté,SEN,2,Crystal Palace,Premier League,32
1427,Mateo Kova?i?,CRO,2,Chelsea,Premier League,28
1428,Viktor Kovalenko,UKR,2,Spezia,Serie A,26
1429,Emil Krafth,SWE,1,Newcastle Utd,Premier League,27
1430,Alex Král,CZE,2,West Ham,Premier League,24
1431,Andrej Kramari?,CRO,3,Hoffenheim,Bundesliga,30
1432,Christoph Kramer,GER,2,M'Gladbach,Bundesliga,31
1433,Jean-Philippe Krasso,FRA,3,Saint-Étienne,Ligue 1,24
1434,Julian Kristoffersen,NOR,3,Salernitana,Serie A,25
1435,Toni Kroos,GER,2,Real Madrid,La Liga,32
1436,Florian Krüger,GER,3,Arminia,Bundesliga,23
1437,Tim Krul,NED,4,Norwich City,Premier League,34
1438,Rade Kruni?,BIH,2,Milan,Serie A,28
1439,Max Kruse,GER,3,Wolfsburg,Bundesliga,34
1440,Max Kruse,GER,3,Union Berlin,Bundesliga,34
1441,Lukas Kübler,GER,1,Freiburg,Bundesliga,29
1442,Takefusa Kubo,JPN,3,Mallorca,La Liga,20
1443,Juraj Kucka,SVK,2,Watford,Premier League,35
1444,Mykola Kukharevych,UKR,3,Troyes,Ligue 1,20
1445,Dejan Kulusevski,SWE,2,Tottenham,Premier League,22
1446,Dejan Kulusevski,SWE,3,Juventus,Serie A,22
1447,Marash Kumbulla,ALB,1,Roma,Serie A,22
1448,Fabian Kunze,GER,2,Arminia,Bundesliga,23
1449,Enock Kwateng,FRA,1,Bordeaux,Ligue 1,25
1450,Grejohn Kyei,FRA,3,Clermont Foot,Ligue 1,26
1451,Giorgos Kyriakopoulos,GRE,1,Sassuolo,Serie A,26
1452,Andrea La Mantia,ITA,3,Empoli,Serie A,31
1453,Gaëtan Laborde,FRA,3,Rennes,Ligue 1,28
1454,Gaëtan Laborde,FRA,3,Montpellier,Ligue 1,28
1455,Alexandre Lacazette,FRA,3,Arsenal,Premier League,31
1456,Tom Lacoux,FRA,1,Bordeaux,Ligue 1,20
1457,Lenny Lacroix,FRA,1,Metz,Ligue 1,19
1458,Maxence Lacroix,FRA,1,Wolfsburg,Bundesliga,22
1459,Alban Lafont,FRA,4,Nantes,Ligue 1,23
1460,Víctor Laguardia,ESP,1,Alavés,La Liga,32
1461,Konrad Laimer,AUT,2,RB Leipzig,Bundesliga,25
1462,Stefan Lainer,AUT,1,M'Gladbach,Bundesliga,29
1463,Diego Lainez,MEX,3,Betis,La Liga,21
1464,Adam Lallana,ENG,2,Brighton,Premier League,34
1465,Vassilis Lambropoulos,GRE,1,Bochum,Bundesliga,32
1466,Érik Lamela,ARG,3,Sevilla,La Liga,30
1467,Didier Lamkel Zé,CMR,3,Metz,Ligue 1,25
1468,Sam Lammers,NED,3,Eint Frankfurt,Bundesliga,25
1469,Sam Lammers,NED,3,Atalanta,Serie A,25
1470,Tariq Lamptey,ENG,1,Brighton,Premier League,21
1471,Manuel Lanzini,ARG,2,West Ham,Premier League,29
1472,Aymeric Laporte,ESP,1,Manchester City,Premier League,28
1473,Julien Laporte,FRA,1,Lorient,Ligue 1,28
1474,Yasser Larouci,ALG,1,Troyes,Ligue 1,21
1475,Kevin Lasagna,ITA,3,Hellas Verona,Serie A,29
1476,Jamaal Lascelles,ENG,1,Newcastle Utd,Premier League,28
1477,Bryan Lasme,FRA,3,Arminia,Bundesliga,23
1478,Paul Lasne,FRA,2,Brest,Ligue 1,33
1479,Latasa,ESP,3,Real Madrid,La Liga,21
1480,Toni Lato,ESP,1,Valencia,La Liga,24
1481,Armand Lauriente,FRA,3,Lorient,Ligue 1,23
1482,Darko Lazovi?,SRB,1,Hellas Verona,Serie A,31
1483,Manuel Lazzari,ITA,1,Lazio,Serie A,28
1484,Théo Le Bris,FRA,2,Lorient,Ligue 1,19
1485,Jérémy Le Douaron,FRA,3,Brest,Ligue 1,24
1486,Enzo Le Fée,FRA,2,Lorient,Ligue 1,22
1487,Vincent Le Goff,FRA,1,Lorient,Ligue 1,32
1488,Maxime Le Marchand,FRA,1,Strasbourg,Ligue 1,32
1489,Robin Le Normand,FRA,1,Real Sociedad,La Liga,25
1490,Patrick Leal,USA,2,Venezia,Serie A,19
1491,Rafael Leão,POR,3,Milan,Serie A,22
1492,Jean-Louis Leca,FRA,4,Lens,Ligue 1,36
1493,Jeremías Ledesma,ARG,4,Cádiz,La Liga,29
1494,Pierre Lees-Melou,FRA,2,Norwich City,Premier League,29
1495,Wu Lei,CHN,3,Espanyol,La Liga,30
1496,Maxim Leitsch,GER,1,Bochum,Bundesliga,24
1497,Lucas Leiva,BRA,2,Lazio,Serie A,35
1498,Florian Lejeune,FRA,1,Alavés,La Liga,31
1499,Iñigo Lekue,ESP,1,Athletic Club,La Liga,29
1500,Thomas Lemar,FRA,2,Atlético Madrid,La Liga,26
1501,Félix Lemaréchal,CIV,2,Monaco,Ligue 1,18
1502,Mario Lemina,GAB,2,Nice,Ligue 1,28
1503,Fabien Lemoine,FRA,2,Lorient,Ligue 1,35
1504,Tim Lemperle,GER,3,Köln,Bundesliga,20
1505,Ruben Lendinez,ESP,1,Valencia,La Liga,19
1506,Clément Lenglet,FRA,1,Barcelona,La Liga,26
1507,Aaron Lennon,ENG,2,Burnley,Premier League,35
1508,Bernd Leno,GER,4,Arsenal,Premier League,30
1509,Christopher Lenz,GER,1,Eint Frankfurt,Bundesliga,27
1510,Léo Leroy,FRA,2,Montpellier,Ligue 1,22
1511,Alexandre Letellier,FRA,4,Paris S-G,Ligue 1,31
1512,Robert Lewandowski,POL,3,Bayern Munich,Bundesliga,33
1513,Jamie Leweling,GER,3,Greuther Fürth,Bundesliga,21
1514,Jamal Lewis,NIR,1,Newcastle Utd,Premier League,24
1515,Luca Lezzerini,ITA,4,Venezia,Serie A,27
1516,Ben Lhassine Kone,CIV,2,Torino,Serie A,22
1517,Yanis Lhery,FRA,3,Saint-Étienne,Ligue 1,19
1518,Dimitri Liénard,FRA,1,Strasbourg,Ligue 1,34
1519,Philipp Lienhart,AUT,1,Freiburg,Bundesliga,25
1520,Matthijs de Ligt,NED,1,Juventus,Serie A,22
1521,Isaac Lihadji,FRA,2,Lille,Ligue 1,20
1522,Anderson Lima,BRA,2,Lazio,Serie A,22
1523,Andreas Linde,SWE,4,Greuther Fürth,Bundesliga,28
1524,Victor Lindelöf,SWE,1,Manchester Utd,Premier League,27
1525,Jesper Lindstrøm,DEN,3,Eint Frankfurt,Bundesliga,22
1526,Karol Linetty,POL,2,Torino,Serie A,27
1527,Jesse Lingard,ENG,3,Manchester Utd,Premier League,29
1528,Pol Lirola,ESP,1,Marseille,Ligue 1,24
1529,Valentino Livramento,ENG,1,Southampton,Premier League,19
1530,Dejan Ljubicic,AUT,2,Köln,Bundesliga,24
1531,Javier Llabrés,N/A,3,Mallorca,La Liga,0
1532,Diego Llorente,ESP,1,Leeds United,Premier League,28
1533,Marcos Llorente,ESP,1,Atlético Madrid,La Liga,27
1534,Hugo Lloris,FRA,4,Tottenham,Premier League,35
1535,Giovani Lo Celso,ARG,2,Tottenham,Premier League,26
1536,Giovani Lo Celso,ARG,3,Villarreal,La Liga,26
1537,Julen Lobete,ESP,3,Real Sociedad,La Liga,21
1538,Stanislav Lobotka,SVK,2,Napoli,Serie A,27
1539,Jürgen Locadia,NED,3,Bochum,Bundesliga,28
1540,Jürgen Locadia,NED,3,Brighton,Premier League,28
1541,Manuel Locatelli,ITA,2,Juventus,Serie A,24
1542,Banzouzi Locko,FRA,1,Reims,Ligue 1,20
1543,Renan Lodi,BRA,1,Atlético Madrid,La Liga,24
1544,Ruben Loftus-Cheek,ENG,2,Chelsea,Premier League,26
1545,Kevin Long,IRL,1,Burnley,Premier League,31
1546,Shane Long,IRL,3,Southampton,Premier League,35
1547,Sean Longstaff,ENG,2,Newcastle Utd,Premier League,24
1548,Ademola Lookman,NGA,3,Leicester City,Premier League,24
1549,Anthony Lopes,POR,4,Lyon,Ligue 1,31
1550,David López,ESP,2,Espanyol,La Liga,32
1551,Diego López,ESP,4,Espanyol,La Liga,40
1552,Javi López,ESP,1,Alavés,La Liga,20
1553,Maxime Lopez,FRA,2,Sassuolo,Serie A,24
1554,Pau López,ESP,4,Marseille,Ligue 1,27
1555,Unai López,ESP,2,Rayo Vallecano,La Liga,26
1556,Dion Lopy,SEN,2,Reims,Ligue 1,20
1557,Samuel Loric,FRA,1,Lorient,Ligue 1,21
1558,Anthony Losilla,FRA,2,Bochum,Bundesliga,36
1559,Jonas Lössl,DEN,4,Brentford,Premier League,33
1560,Marcel Lotka,POL,4,Hertha BSC,Bundesliga,21
1561,Jordan Lotomba,SUI,1,Nice,Ligue 1,23
1562,Johaneko Louisjean,FRA,1,Bordeaux,Ligue 1,17
1563,Imran Louza,MAR,2,Watford,Premier League,23
1564,Matteo Lovato,ITA,1,Atalanta,Serie A,22
1565,Matteo Lovato,ITA,1,Cagliari,Serie A,22
1566,Eduard Löwen,GER,2,Bochum,Bundesliga,25
1567,Matthew Lowton,ENG,1,Burnley,Premier League,32
1568,Anthony Lozano,HON,3,Cádiz,La Liga,29
1569,Hirving Lozano,MEX,3,Napoli,Serie A,26
1570,Jean Lucas,BRA,2,Monaco,Ligue 1,23
1571,Anderson Lucoqui,ANG,1,Mainz 05,Bundesliga,24
1572,José Luis Gayà,ESP,1,Valencia,La Liga,27
1573,José Luis Morales,ESP,3,Levante,La Liga,34
1574,José Luis Palomino,ARG,1,Atalanta,Serie A,32
1575,Florentino Luís,POR,2,Getafe,La Liga,22
1576,Luismi,ESP,3,Sevilla,La Liga,21
1577,Douglas Luiz,BRA,2,Aston Villa,Premier League,24
1578,Romelu Lukaku,BEL,3,Chelsea,Premier League,29
1579,Castello Lukeba,FRA,1,Lyon,Ligue 1,19
1580,Dodi Lukebakio,BEL,3,Hertha BSC,Bundesliga,24
1581,Dodi Lukebakio,BEL,3,Wolfsburg,Bundesliga,24
1582,Saa Luki?,SRB,2,Torino,Serie A,25
1583,Levi Lumeka,ENG,1,Troyes,Ligue 1,23
1584,Andriy Lunin,UKR,4,Real Madrid,La Liga,23
1585,Andrey Lunyov,RUS,4,Leverkusen,Bundesliga,30
1586,Sebastiano Luperto,ITA,1,Empoli,Serie A,25
1587,Andreas Luthe,GER,4,Union Berlin,Bundesliga,35
1588,Lyanco,BRA,1,Southampton,Premier League,25
1589,Charalambos Lykogiannis,GRE,1,Cagliari,Serie A,28
1590,Yannis M'Bemba,FRA,1,Nantes,Ligue 1,20
1591,Alexis Mac Allister,ARG,2,Brighton,Premier League,23
1592,Deiver Machado,COL,1,Lens,Ligue 1,28
1593,Darwin Machís,VEN,2,Granada,La Liga,29
1594,Yvann Macon,FRA,1,Saint-Étienne,Ligue 1,23
1595,James Maddison,ENG,2,Leicester City,Premier League,25
1596,Niki Mäenpää,FIN,4,Venezia,Serie A,37
1597,Pablo Maffeo,ESP,1,Mallorca,La Liga,24
1598,Louis Mafouta,CTA,3,Metz,Ligue 1,27
1599,Giulio Maggiore,ITA,2,Spezia,Serie A,24
1600,Matej Maglica,CRO,1,Stuttgart,Bundesliga,23
1601,Francesco Magnanelli,ITA,2,Sassuolo,Serie A,37
1602,Giangiacomo Magnani,ITA,1,Sampdoria,Serie A,26
1603,Giangiacomo Magnani,ITA,1,Hellas Verona,Serie A,26
1604,Hugo Magnetti,FRA,2,Brest,Ligue 1,23
1605,Yohann Magnin,FRA,2,Clermont Foot,Ligue 1,24
1606,Harry Maguire,ENG,1,Manchester Utd,Premier League,29
1607,Riyad Mahrez,ALG,3,Manchester City,Premier League,31
1608,Arne Maier,GER,2,Augsburg,Bundesliga,23
1609,Habib Maïga,CIV,2,Metz,Ligue 1,26
1610,Mike Maignan,FRA,4,Milan,Serie A,26
1611,Ainsley Maitland-Niles,ENG,1,Roma,Serie A,24
1612,Ainsley Maitland-Niles,ENG,2,Arsenal,Premier League,24
1613,Josh Maja,NGA,3,Bordeaux,Ligue 1,23
1614,Abdul Majeed Waris,GHA,2,Strasbourg,Ligue 1,30
1615,Lovro Majer,CRO,2,Rennes,Ligue 1,24
1616,Jean-Victor Makengo,FRA,2,Udinese,Serie A,23
1617,Béni Makouana,CGO,3,Montpellier,Ligue 1,19
1618,Nemanja Maksimovi?,SRB,2,Getafe,La Liga,27
1619,Nikola Maksimovi?,SRB,1,Genoa,Serie A,30
1620,Kévin Malcuit,MAR,1,Napoli,Serie A,30
1621,Daniel Maldini,ITA,2,Milan,Serie A,20
1622,Youssef Maleh,ITA,2,Fiorentina,Serie A,23
1623,Donyell Malen,NED,3,Dortmund,Bundesliga,23
1624,Ruslan Malinovskyi,UKR,3,Atalanta,Serie A,29
1625,Hugo Mallo,ESP,1,Celta Vigo,La Liga,30
1626,Lennard Maloney,USA,1,Dortmund,Bundesliga,22
1627,Mickael Malsa,MTQ,2,Levante,La Liga,26
1628,Giorgi Mamardashvili,GEO,4,Valencia,La Liga,21
1629,Rey Manaj,ALB,3,Spezia,Serie A,25
1630,Hianga Mananga Mbock,FRA,2,Brest,Ligue 1,22
1631,Vincent Manceau,FRA,1,Angers,Ligue 1,32
1632,Gianluca Mancini,ITA,1,Roma,Serie A,26
1633,Leonardo Mancuso,ITA,3,Empoli,Serie A,30
1634,Steve Mandanda,FRA,4,Marseille,Ligue 1,37
1635,Reinildo Mandava,MOZ,1,Lille,Ligue 1,28
1636,Reinildo Mandava,MOZ,1,Atlético Madrid,La Liga,28
1637,Aïssa Mandi,ALG,1,Villarreal,La Liga,30
1638,Rolando Mandragora,ITA,2,Torino,Serie A,24
1639,Anthony Mandrea,FRA,4,Angers,Ligue 1,25
1640,Sadio Mané,SEN,3,Liverpool,Premier League,30
1641,Eliaquim Mangala,FRA,1,Saint-Étienne,Ligue 1,31
1642,Orel Mangala,BEL,2,Stuttgart,Bundesliga,24
1643,Thomas Mangani,FRA,2,Angers,Ligue 1,35
1644,Ricardo Mangas,POR,1,Bordeaux,Ligue 1,24
1645,Kostas Manolas,GRE,1,Napoli,Serie A,30
1646,Javier Manquillo,ESP,1,Newcastle Utd,Premier League,28
1647,Myziane Maolida,FRA,2,Nice,Ligue 1,23
1648,Myziane Maolida,FRA,3,Hertha BSC,Bundesliga,23
1649,Sekou Mara,FRA,3,Bordeaux,Ligue 1,19
1650,Maranhão,BRA,3,Valencia,La Liga,25
1651,Nikola Mara,SRB,1,Rayo Vallecano,La Liga,26
1652,Fernando Marçal,BRA,1,Wolves,Premier League,33
1653,Marcelo,BRA,1,Real Madrid,La Liga,34
1654,Marcelo,BRA,1,Bordeaux,Ligue 1,35
1655,Marcelo,BRA,1,Lyon,Ligue 1,35
1656,Solly March,ENG,1,Brighton,Premier League,27
1657,Riccardo Marchizza,ITA,1,Empoli,Serie A,24
1658,Gian Marco Ferrari,ITA,1,Sassuolo,Serie A,30
1659,Iván Marcone,ARG,2,Elche,La Liga,31
1660,Óscar de Marcos,ESP,1,Athletic Club,La Liga,33
1661,Davide Marfella,ITA,4,Napoli,Serie A,22
1662,José Mari,ESP,2,Cádiz,La Liga,34
1663,Pablo Marí,ESP,1,Udinese,Serie A,28
1664,Pablo Marí,ESP,1,Arsenal,Premier League,28
1665,José María Giménez,URU,1,Atlético Madrid,La Liga,27
1666,Mariano,DOM,3,Real Madrid,La Liga,28
1667,R?zvan Marin,ROU,2,Cagliari,Serie A,26
1668,Guillermo Maripán,CHI,1,Monaco,Ligue 1,28
1669,Mika Màrmol,ESP,1,Barcelona,La Liga,19
1670,Omar Marmoush,EGY,3,Stuttgart,Bundesliga,23
1671,Omar Marmoush,EGY,3,Wolfsburg,Bundesliga,23
1672,Marquinhos,BRA,1,Paris S-G,Ligue 1,28
1673,Roger Martí,ESP,3,Levante,La Liga,31
1674,Anthony Martial,FRA,3,Sevilla,La Liga,26
1675,Anthony Martial,FRA,3,Manchester Utd,Premier League,26
1676,Martín,ESP,2,Cádiz,La Liga,23
1677,Aarón Martín,ESP,1,Mainz 05,Bundesliga,25
1678,Ander Martin,ESP,3,Real Sociedad,La Liga,21
1679,Andrés Martín,ESP,3,Rayo Vallecano,La Liga,22
1680,Carlos Martín,ESP,1,Atlético Madrid,La Liga,20
1681,Iván Martín,ESP,2,Alavés,La Liga,23
1682,Jonas Martin,FRA,2,Rennes,Ligue 1,32
1683,Martinelli,BRA,3,Arsenal,Premier League,20
1684,Lucas Martínez Quarta,ARG,1,Fiorentina,Serie A,26
1685,Emiliano Martínez,ARG,4,Aston Villa,Premier League,29
1686,Iñigo Martínez,ESP,1,Athletic Club,La Liga,31
1687,Javi Martínez,ESP,2,Osasuna,La Liga,22
1688,Josep Martinez,ESP,4,RB Leipzig,Bundesliga,24
1689,Lautaro Martínez,ARG,3,Inter,Serie A,24
1690,Pablo Martínez,ESP,2,Levante,La Liga,24
1691,Gelson Martins,POR,3,Monaco,Ligue 1,27
1692,Adam Marui?,MNE,1,Lazio,Serie A,29
1693,Omar Mascarell,ESP,2,Elche,La Liga,29
1694,Andrea Masiello,ITA,1,Genoa,Serie A,36
1695,Adam Masina,MAR,1,Watford,Premier League,28
1696,Erhan Maovi?,SRB,1,Bochum,Bundesliga,23
1697,Roberto Massimo,GER,1,Stuttgart,Bundesliga,21
1698,Arthur Masuaku,COD,1,West Ham,Premier League,28
1699,Jaime Mata,ESP,3,Getafe,La Liga,33
1700,Juan Mata,ESP,2,Manchester Utd,Premier League,34
1701,Pape Matar Sarr,SEN,2,Metz,Ligue 1,19
1702,Eliot Matazo,BEL,2,Monaco,Ligue 1,20
1703,Ale Mat?j?,CZE,1,Venezia,Serie A,25
1704,Jean-Philippe Mateta,FRA,3,Crystal Palace,Premier League,24
1705,Nemanja Mati?,SRB,2,Manchester Utd,Premier League,33
1706,Joël Matip,CMR,1,Liverpool,Premier League,30
1707,Chrislain Matsima,FRA,1,Monaco,Ligue 1,20
1708,Azor Matusiwa,NED,2,Reims,Ligue 1,24
1709,Neal Maupay,FRA,3,Brighton,Premier League,25
1710,Stephy Mavididi,ENG,3,Montpellier,Ligue 1,23
1711,Konstantinos Mavropanos,GRE,1,Stuttgart,Bundesliga,24
1712,Eric Maxim Choupo-Moting,CMR,3,Bayern Munich,Bundesliga,33
1713,Luís Maximiano,POR,4,Granada,La Liga,23
1714,Borja Mayoral,ESP,3,Roma,Serie A,25
1715,Borja Mayoral,ESP,3,Getafe,La Liga,25
1716,Derek Mazou-Sacko,FRA,3,Troyes,Ligue 1,17
1717,Pasquale Mazzocchi,ITA,1,Salernitana,Serie A,26
1718,Pasquale Mazzocchi,ITA,1,Venezia,Serie A,26
1719,Kevin Mbabu,SUI,1,Wolfsburg,Bundesliga,27
1720,Kylian Mbappé,FRA,3,Paris S-G,Ligue 1,23
1721,Ibrahima Mbaye,SEN,1,Bologna,Serie A,27
1722,Amadou Mbengue,SEN,1,Metz,Ligue 1,20
1723,Bryan Mbeumo,FRA,3,Brentford,Premier League,22
1724,Jason Mbock,FRA,3,Angers,Ligue 1,22
1725,Jordi Mboula,ESP,3,Mallorca,La Liga,23
1726,Moustapha Mbow,SEN,1,Reims,Ligue 1,22
1727,Nathanael Mbuku,FRA,3,Reims,Ligue 1,20
1728,James McArthur,SCO,2,Crystal Palace,Premier League,34
1729,James Mcatee,ENG,2,Manchester City,Premier League,19
1730,Kasey McAteer,ENG,3,Leicester City,Premier League,20
1731,Liam McCarron,SCO,3,Leeds United,Premier League,21
1732,Alex McCarthy,ENG,4,Southampton,Premier League,32
1733,John McGinn,SCO,2,Aston Villa,Premier League,27
1734,Weston McKennie,USA,2,Juventus,Serie A,23
1735,Stuart McKinstry,SCO,2,Leeds United,Premier League,19
1736,Kenny McLean,SCO,2,Norwich City,Premier League,30
1737,Dwight McNeil,ENG,2,Burnley,Premier League,22
1738,Scott McTominay,SCO,2,Manchester Utd,Premier League,25
1739,Gary Medel,CHI,1,Bologna,Serie A,34
1740,Facundo Medina,ARG,1,Lens,Ligue 1,23
1741,Nathan de Medina,BEL,1,Arminia,Bundesliga,24
1742,Ben Mee,ENG,1,Burnley,Premier League,32
1743,Admir Mehmedi,SUI,2,Wolfsburg,Bundesliga,31
1744,Hannibal Mejbri,TUN,3,Manchester Utd,Premier League,19
1745,Farid El Melali,ALG,3,Angers,Ligue 1,24
1746,Filippo Melegoni,ITA,3,Genoa,Serie A,23
1747,Óscar Melendo,ESP,2,Espanyol,La Liga,24
1748,Gonzalo Melero,ESP,2,Levante,La Liga,28
1749,Birger Meling,NOR,1,Rennes,Ligue 1,27
1750,Arthur Melo,BRA,2,Juventus,Serie A,25
1751,Houboulang Mendes,FRA,1,Lorient,Ligue 1,24
1752,Nuno Mendes,POR,1,Paris S-G,Ligue 1,19
1753,Pedro Mendes,POR,1,Montpellier,Ligue 1,31
1754,Thiago Mendes,BRA,2,Lyon,Ligue 1,30
1755,Tomás Mendes,ESP,2,Alavés,La Liga,17
1756,Brais Méndez,ESP,2,Celta Vigo,La Liga,25
1757,Édgar Méndez,ESP,3,Alavés,La Liga,32
1758,Arial Mendy,SEN,1,Clermont Foot,Ligue 1,27
1759,Batista Mendy,FRA,2,Angers,Ligue 1,22
1760,Benjamin Mendy,FRA,1,Manchester City,Premier League,27
1761,Edouard Mendy,SEN,4,Chelsea,Premier League,30
1762,Ferland Mendy,FRA,1,Real Madrid,La Liga,26
1763,Nampalys Mendy,SEN,2,Leicester City,Premier League,29
1764,Gideon Mensah,GHA,1,Bordeaux,Ligue 1,23
1765,Jorge Meré,ESP,1,Köln,Bundesliga,25
1766,Alex Meret,ITA,4,Napoli,Serie A,25
1767,Fran Mérida,ESP,2,Espanyol,La Liga,32
1768,Mikel Merino,ESP,2,Real Sociedad,La Liga,25
1769,Quentin Merlin,FRA,1,Nantes,Ligue 1,20
1770,Martín Merquelanz,ESP,3,Rayo Vallecano,La Liga,26
1771,Yýldýrým Mert Çetin,TUR,1,Hellas Verona,Serie A,25
1772,Dries Mertens,BEL,3,Napoli,Serie A,35
1773,Illan Meslier,FRA,4,Leeds United,Premier League,22
1774,Lionel Messi,ARG,3,Paris S-G,Ligue 1,34
1775,Junior Messias,BRA,3,Milan,Serie A,31
1776,Thomas Meunier,BEL,1,Dortmund,Bundesliga,30
1777,Mexer,MOZ,1,Bordeaux,Ligue 1,33
1778,Marco Meyerhöfer,GER,1,Greuther Fürth,Bundesliga,26
1779,Matt Miazga,USA,1,Alavés,La Liga,26
1780,Kingsley Michael,NGA,2,Bologna,Serie A,22
1781,Sven Michel,GER,3,Union Berlin,Bundesliga,31
