,Player,Value,Nation,Pos,Pos2,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,stats_id,player_id
2727,Sven Ulreich,900000,GER,4,N/A,Bayern Munich,Bundesliga,33,6.0,6.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,84.7,98.4,97.7,59.8,0.0,0.0,0.0,39.3,2.33,4.0,0.17,0.0,0.0,3.67,30.2,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,40.8,0.0,0.0,0.0,0.0,0.0,25.5,93.2,33.8,0.0,24.2,97.3,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728,2728
2728,Samuel Umtiti,400000000,FRA,1,N/A,Barcelona,La Liga,28,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,84.0,93.3,88.0,66.7,0.0,0.0,0.0,50.0,0.0,5.0,3.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,66.7,7.0,2.0,1.0,0.0,1.0,3.0,13.0,34.0,26.0,0.0,0.0,0.0,0.0,27.0,172.0,120.0,0.0,37.0,97.4,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,40.0,2729,2729
2729,Enes Ünal,2500000000,TUR,3,N/A,Getafe,La Liga,25,37.0,33.0,2798.0,0.51,2.64,0.77,29.3,0.17,15.8,0.23,0.06,0.13,13.5,63.8,71.6,63.3,47.7,0.03,0.26,0.1,21.2,0.03,8.62,0.26,0.42,0.03,1.29,12.4,0.77,2.22,0.13,0.06,0.55,0.48,0.23,20.6,24.4,1.0,0.19,0.0,0.23,1.32,1.13,2.54,18.5,16.6,0.58,1.64,35.3,19.2,66.7,29.8,1.86,26.4,56.1,0.26,0.0,0.0,2.77,2.6,0.45,0.42,0.0,0.0,5.5,7.23,43.2,2730,2730
2730,Cengiz Ünder,1700000000,TUR,3,MF,Marseille,Ligue 1,24,32.0,25.0,2200.0,0.41,2.38,0.82,34.5,0.16,19.1,0.04,0.04,0.04,29.2,74.4,86.0,77.3,53.4,0.08,1.76,0.41,39.2,0.86,5.37,1.89,2.87,1.72,25.6,11.3,1.72,3.4,0.33,0.29,0.25,0.41,0.29,28.0,10.0,0.78,0.12,0.0,0.86,1.8,0.57,4.51,19.5,31.5,0.98,2.34,42.1,39.0,232.6,121.3,1.84,39.8,78.1,0.08,0.04,0.04,0.49,1.43,0.49,2.87,0.0,0.0,0.45,0.53,45.8,2731,2731
2731,Dayot Upamecano,6000000000,FRA,1,N/A,Bayern Munich,Bundesliga,23,28.0,25.0,2211.0,0.04,0.41,0.04,10.0,0.1,12.3,0.0,0.0,0.0,83.3,90.5,93.5,93.3,83.1,0.24,0.45,0.0,92.0,1.26,11.2,2.36,0.16,0.0,10.6,76.8,2.03,0.93,0.24,1.54,0.77,0.04,0.73,56.3,14.6,1.38,0.41,0.0,2.8,5.16,8.74,43.5,60.3,5.89,0.41,0.45,90.9,77.2,437.9,222.6,0.57,75.5,98.4,0.16,0.0,0.0,1.34,0.57,0.04,0.16,0.04,0.0,3.01,2.07,59.2,2732,2732
2732,Benjamin Uphoff,500000,GER,4,N/A,Freiburg,Bundesliga,28,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,70.0,100.0,100.0,52.6,0.0,0.0,0.0,45.0,0.5,3.5,1.0,0.0,0.0,5.0,31.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,47.0,1.0,0.0,0.0,0.0,0.0,25.0,163.0,91.5,0.0,25.5,98.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2733,2733
2733,Kacper Urbanski,250000,POL,2,N/A,Bologna,Serie A,17,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,76.9,90.9,66.7,66.7,0.0,0.0,0.0,52.0,0.0,6.0,2.0,2.0,0.0,10.0,38.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,100.0,24.0,6.0,0.0,0.0,0.0,4.0,6.0,26.0,36.0,6.0,0.0,2.0,0.0,32.0,126.0,26.0,2.0,32.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2734,2734
2734,Jere Uronen,100000000,FIN,1,N/A,Brest,Ligue 1,27,15.0,10.0,878.0,0.0,0.41,0.1,25.0,0.0,27.7,0.0,0.0,0.0,37.3,81.2,90.3,84.9,58.5,0.0,1.02,0.31,46.0,0.71,5.1,0.71,1.22,0.1,28.1,5.2,1.53,0.71,0.0,1.94,0.82,0.31,1.22,48.0,13.2,1.84,0.31,0.0,1.73,4.8,3.57,20.2,27.8,12.6,0.41,0.71,57.1,28.2,128.8,73.4,0.2,28.4,89.4,0.0,0.0,0.0,0.51,1.12,0.0,1.22,0.0,0.0,1.33,0.61,68.4,2735,2735
2735,Mark Uth,300000000,GER,2,FW,Köln,Bundesliga,30,30.0,24.0,2025.0,0.22,3.07,0.84,27.5,0.07,17.8,0.18,0.0,0.0,22.7,68.2,76.0,76.5,58.9,0.36,1.2,0.53,33.2,1.33,6.76,2.71,1.96,3.11,26.4,4.04,1.33,4.04,0.49,0.62,0.58,0.58,0.76,34.0,24.0,1.47,0.04,0.0,1.16,2.93,0.76,5.38,21.4,24.8,1.29,3.24,39.7,32.5,158.4,73.1,1.73,31.1,73.6,0.13,0.0,0.0,1.64,2.44,0.49,1.96,0.0,0.0,0.89,1.78,33.3,2736,2736
2739,Óscar Valentín,400000000,ESP,2,N/A,Rayo Vallecano,La Liga,27,35.0,29.0,2569.0,0.0,0.39,0.04,9.1,0.0,19.4,0.0,0.0,0.0,38.7,84.5,90.8,89.5,69.0,0.0,0.46,0.04,45.9,1.19,8.25,1.51,0.07,0.04,6.28,35.5,0.95,1.02,0.0,2.0,1.89,0.28,1.86,43.4,26.7,1.72,0.39,0.04,2.88,7.05,2.95,17.1,38.8,6.46,0.49,0.81,60.9,35.9,207.8,103.9,0.56,33.1,96.0,0.28,0.0,0.0,2.67,2.21,0.0,0.07,0.04,0.0,1.54,2.35,39.6,2740,2740
2741,Yan Valery,250000000,FRA,1,N/A,Southampton,Premier League,23,5.0,3.0,370.0,0.0,0.49,0.0,0.0,0.0,28.3,0.0,0.0,0.0,26.3,69.7,79.3,78.1,33.3,0.0,0.24,0.24,37.8,0.73,5.85,0.49,0.49,0.0,1.22,30.0,2.2,0.24,0.0,1.22,0.98,0.24,1.22,45.5,12.2,2.44,0.73,0.0,2.93,5.37,5.85,22.0,24.9,8.78,0.0,0.73,0.0,28.0,164.9,78.8,0.73,23.4,98.0,0.0,0.0,0.0,1.22,0.73,0.0,0.49,0.0,0.0,3.66,1.95,65.2,2742,2742
2742,Martin Valjent,450000000,SVK,1,N/A,Mallorca,La Liga,26,36.0,36.0,3181.0,0.0,0.28,0.03,10.0,0.0,27.9,0.0,0.0,0.0,31.4,82.8,91.9,91.0,65.2,0.0,0.03,0.0,38.0,2.07,4.82,1.42,0.03,0.0,8.7,25.5,0.45,0.48,0.0,0.57,0.37,0.03,0.37,48.1,6.52,1.87,0.88,0.03,1.53,2.49,9.24,30.9,18.8,1.36,0.03,0.08,33.3,26.4,181.0,95.6,0.06,26.7,98.2,0.11,0.0,0.0,0.71,0.34,0.03,0.03,0.06,0.0,2.18,1.08,67.0,2743,2743
2743,Jesús Vallejo,200000000,ESP,1,N/A,Real Madrid,La Liga,25,5.0,4.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.2,86.3,94.2,94.4,65.2,0.0,0.0,0.0,55.8,0.0,8.95,1.84,0.0,0.0,7.11,43.7,0.53,0.26,0.0,2.11,0.0,0.0,1.84,77.8,12.4,3.95,2.11,0.0,1.32,3.42,17.1,41.8,24.5,2.89,0.79,1.05,75.0,42.9,147.1,50.8,0.26,44.2,98.2,0.26,0.0,0.0,1.05,0.26,0.0,0.0,0.26,0.0,2.63,0.0,100.0,2744,2744
2746,Federico Valverde,10000000000,URU,2,N/A,Real Madrid,La Liga,23,31.0,19.0,1833.0,0.0,1.76,0.44,25.0,0.0,24.1,0.0,0.0,0.0,51.1,87.6,91.6,92.3,71.4,0.05,1.08,0.15,58.3,0.39,5.59,1.72,1.23,0.05,3.97,51.8,1.32,3.14,0.2,0.34,0.88,0.39,0.44,30.0,14.9,1.18,0.2,0.0,2.01,3.63,1.52,12.0,37.6,25.1,1.13,1.76,63.9,48.5,338.3,201.8,0.78,51.9,91.6,0.1,0.0,0.0,1.08,0.69,0.29,1.23,0.0,0.0,0.78,0.59,57.1,2747,2747
2747,Vanderson,1800000000,BRA,3,MF,Monaco,Ligue 1,20,17.0,12.0,1120.0,0.16,1.13,0.48,42.9,0.14,19.7,0.0,0.0,0.0,34.1,72.1,80.4,75.0,58.9,0.08,1.37,0.32,47.3,0.4,8.63,2.1,2.18,0.16,7.26,34.0,2.5,2.1,0.48,0.89,1.13,0.32,0.89,39.3,22.9,1.45,0.32,0.0,1.53,3.87,2.18,11.6,27.7,27.1,1.77,3.87,45.8,42.1,163.7,94.7,1.94,41.3,81.9,0.24,0.0,0.0,1.53,1.21,0.24,2.18,0.0,0.0,1.21,2.42,33.3,2748,2748
2748,Zinho Vanheusden,600000000,BEL,1,N/A,Genoa,Serie A,22,14.0,11.0,989.0,0.0,0.55,0.18,33.3,0.0,18.5,0.0,0.0,0.0,30.2,80.0,85.8,89.1,59.1,0.0,0.0,0.0,37.7,1.73,4.45,0.82,0.45,0.0,3.36,30.7,0.55,0.36,0.09,1.09,0.55,0.09,0.73,61.5,10.2,2.64,1.55,0.0,2.09,3.82,8.36,29.5,17.9,4.18,0.09,0.45,20.0,27.2,162.9,75.4,0.09,27.7,96.2,0.27,0.0,0.0,1.27,1.0,0.0,0.45,0.09,0.09,2.36,1.73,57.8,2749,2749
2750,Raphaël Varane,4000000000,FRA,1,N/A,Manchester Utd,Premier League,29,22.0,20.0,1831.0,0.05,0.44,0.05,11.1,0.11,8.3,0.0,0.0,0.0,48.6,90.0,93.9,92.9,81.5,0.05,0.0,0.0,54.0,1.92,5.22,2.07,0.0,0.0,21.5,27.7,0.64,0.49,0.1,0.84,0.34,0.15,0.49,45.5,8.08,1.58,0.69,0.0,1.72,3.05,8.97,32.4,33.7,1.87,0.1,0.25,40.0,40.1,258.5,131.2,0.05,42.6,98.1,0.0,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,3.1,1.67,64.9,2751,2751
2751,Jamie Vardy,400000000,ENG,3,N/A,Leicester City,Premier League,35,25.0,20.0,1806.0,0.75,2.64,1.24,47.2,0.28,12.1,0.0,0.0,0.0,9.55,72.2,74.6,79.0,58.3,0.1,0.95,0.15,13.2,0.0,2.94,0.15,0.85,0.0,2.74,8.46,0.7,1.89,0.25,0.0,0.2,0.15,0.05,16.7,13.7,0.5,0.05,0.0,0.35,0.7,0.8,1.64,8.36,12.0,0.55,1.04,52.4,10.9,68.9,42.6,0.55,14.1,41.4,0.1,0.0,0.0,0.7,0.65,0.95,0.85,0.0,0.05,1.39,2.39,36.8,2752,2752
2754,Johan Vásquez,360000000,MEX,1,N/A,Genoa,Serie A,23,28.0,27.0,2279.0,0.04,0.55,0.12,21.4,0.07,13.1,0.0,0.0,0.0,33.1,72.0,83.0,80.0,49.4,0.0,0.16,0.04,46.0,1.86,4.78,0.51,0.47,0.0,31.3,5.65,1.54,0.59,0.0,1.78,1.26,0.12,1.86,54.0,15.0,2.13,0.47,0.0,2.69,5.85,6.64,29.3,26.1,5.89,0.12,0.32,37.5,29.1,143.6,73.4,0.59,29.1,96.1,0.28,0.0,0.0,1.26,1.03,0.04,0.47,0.0,0.0,2.85,2.37,54.5,2755,2755
2755,Denis Vavro,300000000,SVK,1,N/A,Lazio,Serie A,26,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,0.0,0.0,0.0,0.0,30.0,280.0,220.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,2756,2756
2758,Kevin Vázquez,100000000,ESP,1,N/A,Celta Vigo,La Liga,29,17.0,16.0,1334.0,0.0,0.2,0.07,33.3,0.0,11.0,0.0,0.0,0.0,46.6,78.7,90.4,78.9,49.1,0.07,0.81,0.41,59.1,0.95,6.76,0.61,2.43,0.0,3.92,39.0,2.3,1.42,0.14,1.42,1.01,0.34,1.15,58.6,12.6,2.5,0.54,0.0,2.64,5.41,3.11,18.5,35.7,20.9,0.41,0.88,46.2,36.8,122.6,69.3,0.95,37.5,93.1,0.2,0.0,0.0,1.89,1.55,0.0,2.43,0.07,0.0,1.35,2.03,40.0,2759,2759
2759,Lucas Vázquez,900000000,ESP,1,N/A,Real Madrid,La Liga,30,29.0,20.0,1833.0,0.15,0.88,0.25,27.8,0.17,20.2,0.0,0.0,0.0,65.6,86.3,92.8,88.9,62.6,0.0,1.96,0.49,76.0,1.23,5.78,2.7,2.75,0.25,7.21,61.7,2.3,2.89,0.1,1.52,0.44,0.39,1.08,56.4,14.4,2.16,0.34,0.0,1.42,3.77,3.63,25.8,38.1,28.6,0.88,1.81,48.6,64.6,298.5,166.7,0.88,65.3,94.1,0.15,0.0,0.0,1.47,1.86,0.25,2.75,0.0,0.0,0.2,0.44,30.8,2760,2760
2760,Matías Vecino,450000000,URU,2,N/A,Inter,Serie A,30,17.0,2.0,377.0,0.24,1.67,0.48,28.6,0.14,9.4,0.0,0.0,0.0,38.8,77.6,87.2,78.9,59.3,0.0,2.14,0.24,50.0,1.19,10.2,0.95,1.67,0.0,2.62,40.0,2.14,3.1,0.95,0.71,0.48,0.71,0.0,0.0,19.8,2.86,0.24,0.0,0.95,2.86,2.86,15.5,32.9,16.4,0.0,0.48,0.0,38.3,198.6,114.5,0.71,40.2,84.9,0.48,0.0,0.0,2.14,0.71,0.0,1.67,0.0,0.0,3.81,2.62,59.3,2761,2761
2762,Miguel Veloso,700000,POR,2,N/A,Hellas Verona,Serie A,36,22.0,17.0,1343.0,0.0,1.14,0.27,23.5,0.0,25.0,0.4,0.0,0.0,49.0,79.4,83.1,87.5,62.8,0.2,1.28,0.34,61.7,3.96,8.66,2.48,2.08,3.36,42.0,13.6,1.54,3.09,0.4,0.4,1.21,0.07,0.6,42.9,13.8,1.48,0.27,0.0,1.34,3.02,2.01,14.1,42.8,17.8,0.27,0.34,80.0,38.5,235.4,111.8,0.6,40.6,95.6,0.47,0.07,0.07,1.21,0.4,0.0,2.08,0.0,0.0,2.21,1.88,54.1,2763,2763
2763,Joël Veltman,1000000000,NED,1,N/A,Brighton,Premier League,30,34.0,33.0,2874.0,0.03,0.38,0.06,16.7,0.08,16.6,0.0,0.0,0.0,45.1,78.1,88.1,82.6,58.1,0.03,0.56,0.19,57.8,1.19,6.14,0.78,0.94,0.0,8.24,37.3,1.97,1.13,0.06,1.72,0.91,0.19,0.97,48.4,11.0,2.04,0.5,0.0,2.1,4.92,6.02,27.1,32.4,14.0,0.44,0.97,45.2,38.9,180.0,77.3,0.47,39.2,95.9,0.19,0.0,0.0,1.5,1.19,0.0,0.94,0.03,0.0,2.16,1.32,62.2,2764,2764
2766,Lorenzo Venuti,250000000,ITA,1,N/A,Fiorentina,Serie A,27,23.0,20.0,1571.0,0.0,0.4,0.06,14.3,0.0,22.7,0.0,0.0,0.0,51.8,86.5,91.0,90.2,73.3,0.0,0.63,0.23,59.9,1.2,6.0,1.2,1.31,0.0,6.06,45.3,1.66,1.09,0.06,0.57,0.46,0.17,0.4,31.8,9.43,1.2,0.23,0.0,0.8,2.0,2.97,23.9,33.5,13.7,0.23,0.51,44.4,46.2,186.8,99.5,0.57,47.6,95.2,0.23,0.0,0.0,0.91,1.83,0.0,1.31,0.0,0.06,0.8,0.46,63.6,2767,2767
2767,Daniele Verde,400000000,ITA,3,MF,Spezia,Serie A,25,33.0,21.0,1957.0,0.37,2.49,1.06,42.6,0.13,23.3,0.41,0.05,0.09,26.6,69.5,80.9,73.6,51.6,0.28,1.2,0.37,38.2,1.8,4.19,2.95,2.72,3.36,32.5,3.73,1.84,3.32,0.41,0.41,0.18,0.09,0.37,38.1,8.8,0.97,0.09,0.0,1.38,2.07,0.74,7.97,19.6,21.5,0.65,1.38,46.7,29.5,180.6,82.0,0.55,31.2,79.9,0.09,0.0,0.0,0.09,0.74,0.55,2.72,0.0,0.0,0.14,0.14,50.0,2768,2768
2768,Simone Verdi,450000000,ITA,3,MF,Salernitana,Serie A,29,15.0,11.0,829.0,0.54,3.8,1.52,40.0,0.11,22.2,0.98,0.11,0.11,25.0,68.7,85.9,75.9,52.8,0.0,1.52,0.76,36.4,3.48,7.07,3.48,3.15,3.8,15.9,19.6,1.52,4.57,0.33,0.65,0.11,0.33,0.33,27.3,15.0,0.87,0.0,0.0,0.43,1.52,0.76,5.33,23.4,27.5,2.5,4.78,52.3,35.8,214.1,125.1,2.17,32.7,80.5,0.33,0.0,0.0,1.3,2.5,0.11,3.15,0.0,0.0,0.76,1.52,33.3,2769,2769
2769,Simone Verdi,450000000,ITA,3,MF,Torino,Serie A,29,3.0,0.0,46.0,2.0,4.0,2.0,50.0,0.5,21.1,0.0,0.0,0.0,18.0,52.9,62.5,50.0,0.0,0.0,0.0,0.0,34.0,2.0,8.0,2.0,6.0,0.0,8.0,22.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,6.0,2.0,6.0,24.0,26.0,0.0,2.0,0.0,32.0,76.0,64.0,6.0,30.0,78.9,0.0,0.0,0.0,2.0,2.0,2.0,6.0,0.0,0.0,2.0,2.0,50.0,2770,2770
2770,Gonzalo Verdú,700000,ESP,1,N/A,Elche,La Liga,33,19.0,16.0,1397.0,0.0,0.19,0.0,0.0,0.0,18.1,0.06,0.0,0.0,38.1,84.4,91.0,92.5,69.9,0.0,0.0,0.0,45.2,1.68,2.97,1.81,0.13,0.0,2.71,39.8,0.9,0.06,0.0,1.23,0.19,0.06,0.58,60.0,8.19,1.87,1.03,0.0,1.48,2.97,9.16,34.3,22.6,0.77,0.06,0.06,100.0,31.6,146.3,60.3,0.06,36.6,98.4,0.71,0.0,0.0,1.74,0.84,0.0,0.13,0.06,0.0,2.13,1.29,62.3,2771,2771
2771,Jordan Veretout,1400000000,FRA,2,N/A,Roma,Serie A,29,36.0,26.0,2319.0,0.16,1.05,0.31,29.6,0.11,20.8,0.12,0.04,0.08,46.9,84.5,90.3,89.8,70.2,0.31,0.7,0.12,55.5,1.82,6.55,2.75,1.24,2.67,8.41,45.2,0.97,3.29,0.43,0.93,0.62,0.19,0.43,33.3,16.0,0.62,0.04,0.0,1.05,2.79,1.86,12.2,37.7,16.5,0.35,0.66,52.9,40.9,233.2,111.8,0.35,44.3,94.0,0.23,0.0,0.0,0.81,0.97,0.04,1.24,0.0,0.0,0.5,0.78,39.4,2772,2772
2774,Marco Verratti,5000000000,ITA,2,N/A,Paris S-G,Ligue 1,29,24.0,23.0,1937.0,0.09,0.33,0.05,14.3,0.29,16.1,0.0,0.0,0.0,91.4,91.8,94.5,93.5,81.4,0.09,2.09,0.05,99.6,3.21,15.2,1.44,0.28,0.28,8.74,88.2,2.79,2.79,0.19,0.74,1.53,0.65,0.93,33.9,24.3,1.77,0.47,0.0,1.16,4.09,3.02,21.4,69.8,26.8,1.81,2.33,78.0,86.0,398.5,213.4,1.12,90.7,95.6,0.56,0.0,0.0,1.91,2.56,0.05,0.28,0.0,0.05,0.33,0.65,33.3,2775,2775
2778,Mikel Vesga,500000000,ESP,2,N/A,Athletic Club,La Liga,29,32.0,17.0,1358.0,0.13,0.93,0.26,28.6,0.14,16.9,0.0,0.0,0.0,37.2,78.5,83.3,85.0,64.4,0.0,0.86,0.26,47.4,0.46,9.87,1.79,0.79,0.0,33.2,8.94,1.79,1.59,0.07,0.33,1.13,0.13,0.46,33.3,18.6,1.92,0.4,0.0,1.85,3.44,3.44,12.3,37.6,10.9,0.46,0.73,63.6,35.5,157.9,77.9,1.06,37.0,94.6,0.46,0.13,0.13,2.85,1.19,0.0,0.79,0.07,0.0,2.78,1.72,61.8,2779,2779
2779,Jannik Vestergaard,500000000,DEN,1,N/A,Leicester City,Premier League,29,10.0,6.0,567.0,0.0,0.16,0.0,0.0,0.0,4.1,0.0,0.0,0.0,52.1,91.9,95.6,95.7,81.4,0.0,0.0,0.0,56.7,1.75,5.56,2.7,0.0,0.0,15.9,38.7,1.27,0.48,0.0,2.06,0.48,0.0,0.95,40.0,9.52,2.38,1.59,0.0,2.38,4.92,15.2,42.2,28.4,1.27,0.48,0.48,100.0,45.1,204.0,89.7,0.0,46.2,96.0,0.32,0.0,0.0,0.95,0.16,0.0,0.0,0.16,0.0,2.54,1.75,59.3,2780,2780
2781,Guglielmo Vicario,1600000000,ITA,4,N/A,Empoli,Serie A,25,38.0,38.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,78.2,99.5,99.2,50.2,0.0,0.0,0.0,34.8,2.34,2.42,0.39,0.0,0.0,3.53,25.2,0.18,0.21,0.03,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.0,34.8,38.1,0.18,0.0,0.0,0.0,0.0,19.1,86.5,54.2,0.0,18.0,100.0,0.03,0.0,0.0,0.03,0.21,0.0,0.0,0.03,0.0,0.0,0.0,0.0,2782,2782
2782,Aleix Vidal,180000000,ESP,1,MF,Espanyol,La Liga,32,31.0,21.0,1901.0,0.09,0.28,0.14,50.0,0.33,17.7,0.0,0.0,0.0,41.6,80.9,90.1,86.5,55.8,0.0,1.28,0.52,51.4,1.71,6.49,1.33,1.66,0.14,3.74,38.7,1.66,2.32,0.19,1.04,0.33,0.24,0.81,41.5,10.7,1.85,0.33,0.0,2.42,4.03,3.22,19.1,25.8,20.9,0.62,1.56,39.4,37.0,185.3,100.8,1.09,36.5,89.7,0.47,0.0,0.0,1.28,1.56,0.05,1.66,0.05,0.0,0.52,0.57,47.8,2783,2783
2784,Nacho Vidal,500000000,ESP,1,N/A,Osasuna,La Liga,27,35.0,33.0,2902.0,0.0,0.65,0.06,9.5,0.0,19.1,0.0,0.0,0.0,34.2,72.0,83.2,75.9,51.6,0.03,0.84,0.31,47.5,0.62,6.49,1.06,1.55,0.03,3.54,27.5,1.65,1.55,0.16,1.43,0.65,0.28,1.21,44.8,13.9,2.52,0.43,0.0,1.8,4.16,3.79,18.1,27.0,16.8,0.84,1.58,52.9,27.3,108.5,51.7,0.65,27.6,88.8,0.28,0.0,0.0,1.71,1.09,0.09,1.55,0.06,0.0,2.45,1.21,66.9,2785,2785
2785,Gabriel Vidovic,300000000,CRO,2,N/A,Bayern Munich,Bundesliga,18,3.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,78.3,85.7,71.4,100.0,0.0,2.5,0.0,57.5,0.0,7.5,0.0,0.0,0.0,2.5,50.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,20.0,45.0,7.5,10.0,75.0,55.0,170.0,42.5,5.0,45.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2786,2786
2786,Ronaldo Vieira,300000000,GNB,2,N/A,Sampdoria,Serie A,23,14.0,4.0,495.0,0.0,0.18,0.0,0.0,0.0,18.0,0.0,0.0,0.0,45.3,86.8,88.4,94.4,65.2,0.0,0.36,0.0,52.2,2.0,9.09,2.18,0.0,0.0,7.82,41.3,1.82,0.73,0.18,0.91,0.73,0.18,0.73,30.8,18.0,1.82,0.55,0.0,1.45,3.27,3.09,17.3,40.9,7.09,0.55,0.91,60.0,41.6,191.3,84.5,1.45,42.2,92.1,0.55,0.0,0.0,2.18,0.91,0.0,0.0,0.0,0.0,1.45,2.0,42.1,2787,2787
2787,Nick Viergever,800000,NED,1,N/A,Greuther Fürth,Bundesliga,32,24.0,24.0,2133.0,0.0,0.08,0.04,50.0,0.0,4.9,0.0,0.0,0.0,36.9,81.7,86.1,91.1,60.8,0.0,0.0,0.0,45.2,2.87,4.51,0.63,0.04,0.0,35.5,5.32,0.84,0.34,0.0,1.48,0.46,0.08,0.68,50.0,9.66,2.11,1.1,0.0,2.36,4.39,11.2,37.2,22.5,1.01,0.0,0.04,0.0,28.9,167.8,87.0,0.17,30.6,98.1,0.08,0.0,0.0,0.59,0.3,0.0,0.04,0.0,0.0,1.43,1.77,44.7,2788,2788
2789,Emanuel Vignato,280000000,ITA,2,DF,Bologna,Serie A,21,24.0,3.0,594.0,0.0,0.76,0.15,20.0,0.0,21.0,0.0,0.0,0.0,50.9,83.6,89.9,87.5,78.7,0.15,1.82,0.45,60.9,0.45,10.2,1.97,2.12,0.61,6.97,48.9,1.82,3.03,0.3,1.06,0.76,0.61,0.61,33.3,17.1,0.76,0.0,0.0,0.45,2.88,1.21,12.9,37.0,25.6,1.67,2.12,78.6,49.8,337.0,170.2,1.67,50.8,89.3,0.3,0.0,0.0,0.76,0.61,0.0,2.12,0.0,0.0,0.61,1.36,30.8,2790,2790
2791,Tonny Vilhena,340000000,NED,2,FW,Espanyol,La Liga,27,17.0,13.0,928.0,0.1,1.46,0.29,20.0,0.07,20.8,0.0,0.0,0.0,23.8,71.8,84.5,67.5,50.0,0.1,0.49,0.29,33.1,0.68,7.38,1.55,1.75,1.17,25.2,4.27,2.04,1.75,0.1,0.68,0.78,0.1,0.49,29.4,18.9,1.84,0.29,0.0,1.17,2.72,2.72,8.93,20.1,18.2,0.58,0.78,75.0,28.1,143.1,84.6,1.75,29.3,83.4,0.39,0.0,0.0,1.94,1.07,0.19,1.75,0.0,0.0,1.07,1.26,45.8,2792,2792
2794,Gonzalo Villar,450000000,ESP,2,N/A,Getafe,La Liga,24,10.0,2.0,298.0,0.0,0.61,0.61,100.0,0.0,19.7,0.0,0.0,0.0,36.1,87.5,94.4,87.3,81.8,0.3,0.61,0.0,41.2,1.21,8.48,2.42,0.0,0.0,3.94,33.6,0.3,1.82,0.3,1.21,0.61,0.3,0.91,42.9,20.9,0.91,0.3,0.0,0.91,3.03,1.21,10.3,39.7,8.48,1.52,2.12,71.4,38.5,178.8,90.3,1.21,35.5,95.1,0.0,0.0,0.0,3.64,3.94,0.0,0.0,0.0,0.0,1.82,1.52,54.5,2795,2795
